# pixel_no sector_no crate_no pdp_addr pdp_chan pdp_gchan fadc_addr fadc_chan trigger_addr three_pixel_patch four_pixel_patch trace_idx has_pixel ring pixel_x pixel_y pixel_w pixel_q pixel_r pdp_board_rev pixel_dynodes pixel_hv_offset pixel_hv_setpoint pixel_gain_exponent pixel_preamp_gain 
0x151 0 0 0x15 1 61 0x13 13 0x10 7 0 61 1 8 125.000000 360.843918 50.000000 7.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x152 0 0 0x15 2 62 0x13 14 0x10 7 0 62 1 9 150.000000 404.145188 50.000000 8.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x153 0 0 0x15 0 60 0x13 15 0x10 6 0 63 1 8 175.000000 360.843918 50.000000 8.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x154 0 0 0x15 7 67 0x13 16 0x10 3 1 64 1 8 25.000000 360.843918 50.000000 5.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x155 0 0 0x15 5 65 0x13 17 0x10 3 1 65 1 7 50.000000 317.542648 50.000000 5.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x156 0 0 0x15 6 66 0x13 18 0x10 3 1 66 1 8 75.000000 360.843918 50.000000 6.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x157 0 0 0x15 4 64 0x13 19 0x10 2 1 67 1 7 100.000000 317.542648 50.000000 6.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x158 0 0 0x15 11 71 0x13 20 0x10 6 2 68 1 8 225.000000 360.843918 50.000000 9.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x159 0 0 0x15 9 69 0x13 21 0x10 2 2 69 1 6 125.000000 274.241378 50.000000 6.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x15a 0 0 0x15 10 70 0x13 22 0x10 6 2 70 1 7 200.000000 317.542648 50.000000 8.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x15b 0 0 0x15 8 68 0x13 23 0x10 2 2 71 1 7 150.000000 317.542648 50.000000 7.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x160 0 0 0x16 3 75 0x14 0 0x10 5 0 72 1 12 400.000000 404.145188 50.000000 13.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x161 0 0 0x16 1 73 0x14 1 0x10 5 0 73 1 12 425.000000 360.843918 50.000000 13.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x162 0 0 0x16 2 74 0x14 2 0x10 5 0 74 1 13 450.000000 404.145188 50.000000 14.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x163 0 0 0x16 0 72 0x14 3 0x10 4 0 75 1 13 475.000000 360.843918 50.000000 14.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x164 0 0 0x16 7 79 0x14 4 0x10 1 1 76 1 10 325.000000 360.843918 50.000000 11.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x165 0 0 0x16 5 77 0x14 5 0x10 1 1 77 1 10 350.000000 317.542648 50.000000 11.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x166 0 0 0x16 6 78 0x14 6 0x10 1 1 78 1 11 375.000000 360.843918 50.000000 12.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x167 0 0 0x16 4 76 0x14 7 0x10 0 1 79 1 11 400.000000 317.542648 50.000000 12.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x168 0 0 0x16 11 83 0x14 8 0x10 4 2 80 1 14 525.000000 360.843918 50.000000 15.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x169 0 0 0x16 9 81 0x14 9 0x10 0 2 81 1 11 425.000000 274.241378 50.000000 12.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x16a 0 0 0x16 10 82 0x14 10 0x10 4 2 82 1 13 500.000000 317.542648 50.000000 14.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x16b 0 0 0x16 8 80 0x14 11 0x10 0 2 83 1 12 450.000000 317.542648 50.000000 13.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x170 0 0 0x17 3 87 0x14 12 0x10 7 0 84 1 11 250.000000 490.747729 50.000000 11.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x171 0 0 0x17 1 85 0x14 13 0x10 7 0 85 1 10 275.000000 447.446459 50.000000 11.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x172 0 0 0x17 2 86 0x14 14 0x10 7 0 86 1 11 300.000000 490.747729 50.000000 12.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x173 0 0 0x17 0 84 0x14 15 0x10 6 0 87 1 11 325.000000 447.446459 50.000000 12.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x174 0 0 0x17 7 91 0x14 16 0x10 3 1 88 1 10 175.000000 447.446459 50.000000 9.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x175 0 0 0x17 5 89 0x14 17 0x10 3 1 89 1 9 200.000000 404.145188 50.000000 9.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x176 0 0 0x17 6 90 0x14 18 0x10 3 1 90 1 10 225.000000 447.446459 50.000000 10.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x177 0 0 0x17 4 88 0x14 19 0x10 2 1 91 1 9 250.000000 404.145188 50.000000 10.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x178 0 0 0x17 11 95 0x14 20 0x10 6 2 92 1 12 375.000000 447.446459 50.000000 13.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x179 0 0 0x17 9 93 0x14 21 0x10 2 2 93 1 9 275.000000 360.843918 50.000000 10.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x17a 0 0 0x17 10 94 0x14 22 0x10 6 2 94 1 11 350.000000 404.145188 50.000000 12.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x17b 0 0 0x17 8 92 0x14 23 0x10 2 2 95 1 10 300.000000 404.145188 50.000000 11.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x180 0 0 0x18 3 99 0x15 0 0x10 5 0 96 1 16 550.000000 490.747729 50.000000 17.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x181 0 0 0x18 1 97 0x15 1 0x10 5 0 97 1 16 575.000000 447.446459 50.000000 17.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x182 0 0 0x18 2 98 0x15 2 0x10 5 0 98 1 17 600.000000 490.747729 50.000000 18.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x183 0 0 0x18 0 96 0x15 3 0x10 4 0 99 1 17 625.000000 447.446459 50.000000 18.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x184 0 0 0x18 7 103 0x15 4 0x10 1 1 100 1 14 475.000000 447.446459 50.000000 15.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x185 0 0 0x18 5 101 0x15 5 0x10 1 1 101 1 14 500.000000 404.145188 50.000000 15.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x186 0 0 0x18 6 102 0x15 6 0x10 1 1 102 1 15 525.000000 447.446459 50.000000 16.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x187 0 0 0x18 4 100 0x15 7 0x10 0 1 103 1 15 550.000000 404.145188 50.000000 16.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x188 0 0 0x18 11 107 0x15 8 0x10 4 2 104 1 18 675.000000 447.446459 50.000000 19.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x189 0 0 0x18 9 105 0x15 9 0x10 0 2 105 1 15 575.000000 360.843918 50.000000 16.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x18a 0 0 0x18 10 106 0x15 10 0x10 4 2 106 1 17 650.000000 404.145188 50.000000 18.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x18b 0 0 0x18 8 104 0x15 11 0x10 0 2 107 1 16 600.000000 404.145188 50.000000 17.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x190 0 0 0x19 3 111 0x15 12 0x10 7 0 108 1 14 400.000000 577.350269 50.000000 15.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x191 0 0 0x19 1 109 0x15 13 0x10 7 0 109 1 14 425.000000 534.048999 50.000000 15.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x192 0 0 0x19 2 110 0x15 14 0x10 7 0 110 1 15 450.000000 577.350269 50.000000 16.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x193 0 0 0x19 0 108 0x15 15 0x10 6 0 111 1 15 475.000000 534.048999 50.000000 16.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x194 0 0 0x19 7 115 0x15 16 0x10 3 1 112 1 12 325.000000 534.048999 50.000000 13.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x195 0 0 0x19 5 113 0x15 17 0x10 3 1 113 1 12 350.000000 490.747729 50.000000 13.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x196 0 0 0x19 6 114 0x15 18 0x10 3 1 114 1 13 375.000000 534.048999 50.000000 14.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x197 0 0 0x19 4 112 0x15 19 0x10 2 1 115 1 13 400.000000 490.747729 50.000000 14.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x198 0 0 0x19 11 119 0x15 20 0x10 6 2 116 1 16 525.000000 534.048999 50.000000 17.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x199 0 0 0x19 9 117 0x15 21 0x10 2 2 117 1 13 425.000000 447.446459 50.000000 14.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x19a 0 0 0x19 10 118 0x15 22 0x10 6 2 118 1 15 500.000000 490.747729 50.000000 16.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x19b 0 0 0x19 8 116 0x15 23 0x10 2 2 119 1 14 450.000000 490.747729 50.000000 15.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x1a0 0 0 0x1a 3 123 0x16 0 0x10 5 0 120 1 20 700.000000 577.350269 50.000000 21.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x1a1 0 0 0x1a 1 121 0x16 1 0x10 5 0 121 1 20 725.000000 534.048999 50.000000 21.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x1a2 0 0 0x1a 2 122 0x16 2 0x10 5 0 122 1 21 750.000000 577.350269 50.000000 22.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x1a3 0 0 0x1a 0 120 0x16 3 0x10 4 0 123 1 21 775.000000 534.048999 50.000000 22.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1a4 0 0 0x1a 7 127 0x16 4 0x10 1 1 124 1 18 625.000000 534.048999 50.000000 19.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x1a5 0 0 0x1a 5 125 0x16 5 0x10 1 1 125 1 18 650.000000 490.747729 50.000000 19.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x1a6 0 0 0x1a 6 126 0x16 6 0x10 1 1 126 1 19 675.000000 534.048999 50.000000 20.000000 -8.000000 0 0 0.000000 0.000000 0.000000 0
0x1a7 0 0 0x1a 4 124 0x16 7 0x10 0 1 127 1 19 700.000000 490.747729 50.000000 20.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x1a8 0 0 0x1a 11 131 0x16 8 0x10 4 2 128 1 22 825.000000 534.048999 50.000000 23.000000 -11.000000 0 0 0.000000 0.000000 0.000000 0
0x1a9 0 0 0x1a 9 129 0x16 9 0x10 0 2 129 1 19 725.000000 447.446459 50.000000 20.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1aa 0 0 0x1a 10 130 0x16 10 0x10 4 2 130 1 21 800.000000 490.747729 50.000000 22.000000 -11.000000 0 0 0.000000 0.000000 0.000000 0
0x1ab 0 0 0x1a 8 128 0x16 11 0x10 0 2 131 1 20 750.000000 490.747729 50.000000 21.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1b0 0 0 0x1b 3 135 0x16 12 0x10 7 0 132 1 18 550.000000 663.952810 50.000000 19.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x1b1 0 0 0x1b 1 133 0x16 13 0x10 7 0 133 1 18 575.000000 620.651539 50.000000 19.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x1b2 0 0 0x1b 2 134 0x16 14 0x10 7 0 134 1 19 600.000000 663.952810 50.000000 20.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x1b3 0 0 0x1b 0 132 0x16 15 0x10 6 0 135 1 19 625.000000 620.651539 50.000000 20.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x1b4 0 0 0x1b 7 139 0x16 16 0x10 3 1 136 1 16 475.000000 620.651539 50.000000 17.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x1b5 0 0 0x1b 5 137 0x16 17 0x10 3 1 137 1 16 500.000000 577.350269 50.000000 17.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x1b6 0 0 0x1b 6 138 0x16 18 0x10 3 1 138 1 17 525.000000 620.651539 50.000000 18.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x1b7 0 0 0x1b 4 136 0x16 19 0x10 2 1 139 1 17 550.000000 577.350269 50.000000 18.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x1b8 0 0 0x1b 11 143 0x16 20 0x10 6 2 140 1 20 675.000000 620.651539 50.000000 21.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x1b9 0 0 0x1b 9 141 0x16 21 0x10 2 2 141 1 17 575.000000 534.048999 50.000000 18.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x1ba 0 0 0x1b 10 142 0x16 22 0x10 6 2 142 1 19 650.000000 577.350269 50.000000 20.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x1bb 0 0 0x1b 8 140 0x16 23 0x10 2 2 143 1 18 600.000000 577.350269 50.000000 19.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x1c0 0 0 0x1c 3 147 0x17 0 0x10 5 0 144 1 24 850.000000 663.952810 50.000000 25.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1c1 0 0 0x1c 1 145 0x17 1 0x10 5 0 145 1 24 875.000000 620.651539 50.000000 25.000000 -11.000000 0 0 0.000000 0.000000 0.000000 0
0x1c2 0 0 0x1c 2 146 0x17 2 0x10 5 0 146 1 25 900.000000 663.952810 50.000000 26.000000 -11.000000 0 0 0.000000 0.000000 0.000000 0
0x1c3 0 0 0x1c 0 144 0x17 3 0x10 4 0 147 1 25 925.000000 620.651539 50.000000 26.000000 -12.000000 0 0 0.000000 0.000000 0.000000 0
0x1c4 0 0 0x1c 7 151 0x17 4 0x10 1 1 148 1 22 775.000000 620.651539 50.000000 23.000000 -9.000000 0 0 0.000000 0.000000 0.000000 0
0x1c5 0 0 0x1c 5 149 0x17 5 0x10 1 1 149 1 22 800.000000 577.350269 50.000000 23.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1c6 0 0 0x1c 6 150 0x17 6 0x10 1 1 150 1 23 825.000000 620.651539 50.000000 24.000000 -10.000000 0 0 0.000000 0.000000 0.000000 0
0x1c7 0 0 0x1c 4 148 0x17 7 0x10 0 1 151 1 23 850.000000 577.350269 50.000000 24.000000 -11.000000 0 0 0.000000 0.000000 0.000000 0
0x1c8 0 0 0x1c 11 155 0x17 8 0x10 4 2 152 1 26 975.000000 620.651539 50.000000 27.000000 -13.000000 0 0 0.000000 0.000000 0.000000 0
0x1c9 0 0 0x1c 9 153 0x17 9 0x10 0 2 153 1 23 875.000000 534.048999 50.000000 24.000000 -12.000000 0 0 0.000000 0.000000 0.000000 0
0x1ca 0 0 0x1c 10 154 0x17 10 0x10 4 2 154 1 25 950.000000 577.350269 50.000000 26.000000 -13.000000 0 0 0.000000 0.000000 0.000000 0
0x1cb 0 0 0x1c 8 152 0x17 11 0x10 0 2 155 1 24 900.000000 577.350269 50.000000 25.000000 -12.000000 0 0 0.000000 0.000000 0.000000 0
0x1d0 0 0 0x1d 3 159 0x17 12 0x10 7 0 156 1 22 700.000000 750.555350 50.000000 23.000000 -6.000000 0 0 0.000000 0.000000 0.000000 0
0x1d1 0 0 0x1d 1 157 0x17 13 0x10 7 0 157 1 22 725.000000 707.254080 50.000000 23.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
0x1d2 0 0 0x1d 2 158 0x17 14 0x10 7 0 158 1 23 750.000000 750.555350 50.000000 24.000000 -7.000000 0 0 0.000000 0.000000 0.000000 0
