# patch_no npixels trigger_trace_idx fadc_addr trigger_addr pdp_addr sector_no patch_x patch_y patch_q patch_r pixel_0 pixel_1 pixel_2 neighbours_0 neighbours_1 neighbours_2 neighbours_3 neighbours_4 neighbours_5 
0x257 3 12 0x25 0x20 0x29 0 125.000000 736.121593 11.333333 5.333333 0x290 0x291 0x292 0x252 0x253 0x256 0x354 0x263 0x360 
0x260 3 13 0x26 0x20 0x2a 0 425.000000 649.519053 16.333333 -1.666667 0x2a7 0x2a9 0x2ab 0x157 0x254 0x163 0x261 0x264 0x265 
0x261 3 13 0x26 0x20 0x2a 0 350.000000 692.820323 15.333333 0.333333 0x2a4 0x2a5 0x2a6 0x254 0x255 0x260 0x262 0x265 0x266 
0x264 3 13 0x26 0x20 0x2a 0 500.000000 692.820323 18.333333 -2.666667 0x2a3 0x2a8 0x2aa 0x163 0x260 0x167 0x265 0x270 0x271 
0x265 3 13 0x26 0x20 0x2a 0 425.000000 736.121593 17.333333 -0.666667 0x2a0 0x2a1 0x2a2 0x260 0x261 0x264 0x266 0x271 0x272 
0x262 3 13 0x26 0x20 0x2b 0 275.000000 736.121593 14.333333 2.333333 0x2b7 0x2b9 0x2bb 0x255 0x256 0x261 0x263 0x266 0x267 
0x263 3 13 0x26 0x20 0x2b 0 200.000000 779.422863 13.333333 4.333333 0x2b4 0x2b5 0x2b6 0x256 0x257 0x262 0x360 0x267 0x364 
0x266 3 13 0x26 0x20 0x2b 0 350.000000 779.422863 16.333333 1.333333 0x2b3 0x2b8 0x2ba 0x261 0x262 0x265 0x267 0x272 0x273 
0x267 3 13 0x26 0x20 0x2b 0 275.000000 822.724134 15.333333 3.333333 0x2b0 0x2b1 0x2b2 0x262 0x263 0x266 0x364 0x273 0x370 
0x270 3 14 0x27 0x20 0x2c 0 575.000000 736.121593 20.333333 -3.666667 0x2c7 0x2c9 0x2cb 0x167 0x264 0x173 0x271 0x274 0x275 
0x271 3 14 0x27 0x20 0x2c 0 500.000000 779.422863 19.333333 -1.666667 0x2c4 0x2c5 0x2c6 0x264 0x265 0x270 0x272 0x275 0x276 
0x274 3 14 0x27 0x20 0x2c 0 650.000000 779.422863 22.333333 -4.666667 0x2c3 0x2c8 0x2ca 0x173 0x270 0x177 0x275 0 0 
0x275 3 14 0x27 0x20 0x2c 0 575.000000 822.724134 21.333333 -2.666667 0x2c0 0x2c1 0x2c2 0x270 0x271 0x274 0x276 0 0 
0x272 3 14 0x27 0x20 0x2d 0 425.000000 822.724134 18.333333 0.333333 0x2d7 0x2d9 0x2db 0x265 0x266 0x271 0x273 0x276 0x277 
0x273 3 14 0x27 0x20 0x2d 0 350.000000 866.025404 17.333333 2.333333 0x2d4 0x2d5 0x2d6 0x266 0x267 0x272 0x370 0x277 0x374 
0x276 3 14 0x27 0x20 0x2d 0 500.000000 866.025404 20.333333 -0.666667 0x2d3 0x2d8 0x2da 0x271 0x272 0x275 0x277 0 0 
0x277 3 14 0x27 0x20 0x2d 0 425.000000 909.326674 19.333333 1.333333 0x2d0 0x2d1 0x2d2 0x272 0x273 0x276 0x374 0 0 
0x310 3 16 0x31 0x30 0x30 0 -625.000000 389.711432 -7.666667 16.333333 0x307 0x309 0x30b 0x950 0x954 0x213 0x311 0x314 0x315 
0x311 3 16 0x31 0x30 0x30 0 -700.000000 433.012702 -8.666667 18.333333 0x304 0x305 0x306 0x954 0x960 0x310 0x312 0x315 0x316 
0x314 3 16 0x31 0x30 0x30 0 -550.000000 433.012702 -5.666667 15.333333 0x303 0x308 0x30a 0x213 0x310 0x217 0x315 0x320 0x321 
0x315 3 16 0x31 0x30 0x30 0 -625.000000 476.313972 -6.666667 17.333333 0x300 0x301 0x302 0x310 0x311 0x314 0x316 0x321 0x322 
0x312 3 16 0x31 0x30 0x31 0 -775.000000 476.313972 -9.666667 20.333333 0x317 0x319 0x31b 0x960 0x964 0x311 0x313 0x316 0x317 
0x313 3 16 0x31 0x30 0x31 0 -850.000000 519.615242 -10.666667 22.333333 0x314 0x315 0x316 0x964 0x970 0x312 0x410 0x317 0x414 
0x316 3 16 0x31 0x30 0x31 0 -700.000000 519.615242 -7.666667 19.333333 0x313 0x318 0x31a 0x311 0x312 0x315 0x317 0x322 0x323 
0x317 3 16 0x31 0x30 0x31 0 -775.000000 562.916512 -8.666667 21.333333 0x310 0x311 0x312 0x312 0x313 0x316 0x414 0x323 0x420 
0x320 3 17 0x32 0x30 0x32 0 -475.000000 476.313972 -3.666667 14.333333 0x327 0x329 0x32b 0x217 0x314 0x223 0x321 0x324 0x325 
0x321 3 17 0x32 0x30 0x32 0 -550.000000 519.615242 -4.666667 16.333333 0x324 0x325 0x326 0x314 0x315 0x320 0x322 0x325 0x326 
0x324 3 17 0x32 0x30 0x32 0 -400.000000 519.615242 -1.666667 13.333333 0x323 0x328 0x32a 0x223 0x320 0x227 0x325 0x330 0x331 
0x325 3 17 0x32 0x30 0x32 0 -475.000000 562.916512 -2.666667 15.333333 0x320 0x321 0x322 0x320 0x321 0x324 0x326 0x331 0x332 
0x322 3 17 0x32 0x30 0x33 0 -625.000000 562.916512 -5.666667 18.333333 0x337 0x339 0x33b 0x315 0x316 0x321 0x323 0x326 0x327 
0x323 3 17 0x32 0x30 0x33 0 -700.000000 606.217783 -6.666667 20.333333 0x334 0x335 0x336 0x316 0x317 0x322 0x420 0x327 0x424 
0x326 3 17 0x32 0x30 0x33 0 -550.000000 606.217783 -3.666667 17.333333 0x333 0x338 0x33a 0x321 0x322 0x325 0x327 0x332 0x333 
0x327 3 17 0x32 0x30 0x33 0 -625.000000 649.519053 -4.666667 19.333333 0x330 0x331 0x332 0x322 0x323 0x326 0x424 0x333 0x430 
0x330 3 18 0x33 0x30 0x34 0 -325.000000 562.916512 0.333333 12.333333 0x347 0x349 0x34b 0x227 0x324 0x233 0x331 0x334 0x335 
0x331 3 18 0x33 0x30 0x34 0 -400.000000 606.217783 -0.666667 14.333333 0x344 0x345 0x346 0x324 0x325 0x330 0x332 0x335 0x336 
0x334 3 18 0x33 0x30 0x34 0 -250.000000 606.217783 2.333333 11.333333 0x343 0x348 0x34a 0x233 0x330 0x237 0x335 0x340 0x341 
0x335 3 18 0x33 0x30 0x34 0 -325.000000 649.519053 1.333333 13.333333 0x340 0x341 0x342 0x330 0x331 0x334 0x336 0x341 0x342 
0x332 3 18 0x33 0x30 0x35 0 -475.000000 649.519053 -1.666667 16.333333 0x357 0x359 0x35b 0x325 0x326 0x331 0x333 0x336 0x337 
